,DEVICE_ID,READINGS,AVG_LAG_S,ON_TIME_PCT,LAST_SEEN
41,7xPen4sdZjnOVXXqvPHvg,1,0,100,2026-07-11T21:40:47.000
42,aneBi4aGfgbXjnvTL_LOv,1,0,100,2026-07-11T21:42:17.000
43,9sq4bKKYkit9R0UV9JXHP,1,0,100,2026-07-11T21:44:47.000
44,YmGPKGMjsFSijQevSQBsV,1,0,100,2026-07-11T21:43:47.000
45,ZVRSiOE1ujpwVhDj7Ti48,1,0,100,2026-07-11T21:41:17.000
46,r4BpZ0ogFjHvnbHlmpLg3,1,0,100,2026-07-11T21:43:17.000
47,cRsbKfpvMbz5v5TQpq-bx,1,0,100,2026-07-11T21:41:47.000
48,R-VuRaSgCqmNyjoN0qnCA,1,0,100,2026-07-11T21:39:47.000
49,x1sDlqj2S-ymXtbPLYixI,1,0,100,2026-07-11T21:41:47.000
50,yRJY2hGDv9rQlF9vp-4Rk,1,0,100,2026-07-11T21:41:17.000
51,9OMwQgbvOtsJf3Mnihte4,1,0,100,2026-07-11T21:45:47.000
52,HLjt-r6ERCB9sn_gQCCxS,1,0,100,2026-07-11T21:42:47.000
53,5i3Q8PTdumcPMFGUCdstj,1,0,100,2026-07-11T21:42:47.000
54,IjA-YoPM5xixkSFvQVIQ5,1,0,100,2026-07-11T21:41:47.000
55,7oAyml2TZtCEm9YTwFyRu,1,0,100,2026-07-11T21:44:17.000
56,jAdpNElVM39R7vvmFpbXU,1,0,100,2026-07-11T21:41:17.000
57,bPr-fZrtp1mlfOHjErD-q,1,0,100,2026-07-11T21:40:17.000
58,qXbAJY9nxyjo_QRcMKTyC,1,0,100,2026-07-11T21:42:17.000
59,PJYZDqFXgy8_WE_I8G3RR,1,0,100,2026-07-11T21:40:47.000
60,IAT6LBcy--90mwi_Oj6Hl,1,0,100,2026-07-11T21:40:17.000
61,zpQQibIuCZ8YBQiCHUenW,1,0,100,2026-07-11T21:46:17.000
62,iyd0sB29iGIOIDI12lKi4,1,0,100,2026-07-11T21:44:17.000
63,i6mrMhdGnqq5wZEz2HG14,1,0,100,2026-07-11T21:40:17.000
64,kNGQRJ4zb7AoVMFu4MM2f,1,0,100,2026-07-11T21:39:47.000
65,qkrDDu-6r5cOA8gp9LF3T,1,0,100,2026-07-11T21:42:47.000
66,3rmoGhAN47ha5UlnQKtpM,1,0,100,2026-07-11T21:43:17.000
67,mzgQMeC2qRgWBrPDwKDdF,1,0,100,2026-07-11T21:42:17.000
68,Nn7PQNVTSJ8aCjZ2DA5Mo,1,0,100,2026-07-11T21:43:17.000
69,_dnBLwm5N1_vJ9wJtPVxp,1,0,100,2026-07-11T21:42:47.000
